web-scraper-order;web-scraper-start-url;produit;marque;taille;prix
1736665372-100;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain libanais complet ...;;Ø21CM;2.190 DT
1736665372-101;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain burger;;5 Pièces Nature;2.190 DT
1736665372-102;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain libanais (Raghif);;Ø22CM;2.190 DT
1736665372-103;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain burger;;4 Pièces Au sésame;2.250 DT
1736665372-104;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain chawarma;;Le sachet;2.250 DT
1736665372-105;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain hamburger bun's;;4 pièces;2.290 DT
1736665372-106;https://www.geantdrive.tn/tunis-city/160-le-marche;Courge musquée;;Conditionné par 500g;2.300 DT/ Kg
1736665372-107;https://www.geantdrive.tn/tunis-city/160-le-marche;Michon viennois x4;;La barquette;2.300 DT
1736665372-108;https://www.geantdrive.tn/tunis-city/160-le-marche;Pomme de terre;;Conditionné par 500g;2.300 DT/ Kg
1736665372-109;https://www.geantdrive.tn/tunis-city/160-le-marche;Tomate allongée;;Conditionné par 500g;2.300 DT/ Kg
1736665372-110;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain de mie rond nature;;17 Tranches;2.320 DT
1736665372-111;https://www.geantdrive.tn/tunis-city/160-le-marche;Mini salami de dinde;;200GR Aux olives;2.390 DT
1736665372-112;https://www.geantdrive.tn/tunis-city/160-le-marche;Michon de campagne x4;;La barquette;2.400 DT
1736665372-113;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain de campagne;;19 Pièces;2.400 DT
1736665372-114;https://www.geantdrive.tn/tunis-city/160-le-marche;Buns complet;;220GR;2.450 DT
1736665372-115;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain de mie complet;;14 Tranches;2.450 DT
1736665372-116;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain de mie;;15 Tranches;2.450 DT
1736665372-117;https://www.geantdrive.tn/tunis-city/160-le-marche;Jambonnette de dinde;;100GR;2.450 DT
1736665372-118;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain de mie;;430GR Nature;2.450 DT
1736665372-119;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain de mie brioché;;16 Pièces;2.480 DT
1736665372-120;https://www.geantdrive.tn/tunis-city/160-le-marche;Pain de mie naturel;;14 Tranches;2.480 DT
