web-scraper-order;web-scraper-start-url;produit;marque;taille;prix
1736667595-2922;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Masque visage tissu am...;GARNIER;Vitamine C...;15.390 DT
1736667595-2923;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Crème douche;LE PETIT OLIVIER;500ML Verveine-Citron;15.390 DT
1736667595-2924;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Bandes dépilatoires corps;VEET;10 Pièces Peaux...;15.390 DT
1736667595-2925;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Crème douche;LE PETIT OLIVIER;500ML Rose;15.390 DT
1736667595-2926;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Rasoirs jetables;BIC;Blister de 3 Miss...;15.490 DT
1736667595-2927;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Sérum capillaire;SOLYSS;100ML Cristal liquide;15.490 DT
1736667595-2928;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Faux cils;5M;Naturel 3D;15.490 DT
1736667595-2929;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Après shampooing;ELSEVE;200ML Re-nutrition;15.540 DT
1736667595-2930;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Après shampooing;ELSEVE;200ML;15.540 DT
1736667595-2931;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Après shampooing;ELSEVE;200ML Total repair 5en1;15.540 DT
1736667595-2932;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Après shampooing;ELSEVE;200ML Dream long straight;15.540 DT
1736667595-2933;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Après shampooing;ELSEVE;200ML Huile...;15.540 DT
1736667595-2934;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Brosse à cheveux pneum...;TITANIA;;15.590 DT
1736667595-2935;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Crayon sourcils;LELLA;N°02;15.590 DT
1736667595-2936;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Brosse à cheveux sac à...;TITANIA;;15.590 DT
1736667595-2937;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Eau de parfum pour femme;ESCALES;50ML;15.600 DT
1736667595-2938;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Huile après soleil;ASTUS;200ML SPF 50;15.690 DT
1736667595-2939;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Brosse ronde;TITANIA;4CM Manche caoutchouc;15.690 DT
1736667595-2940;https://www.geantdrive.tn/tunis-city/210-hygiene-et-beaute;Coloration cache racine;LADY BELLA;100ML Noir;15.790 DT
