web-scraper-order;web-scraper-start-url;produit;marque;taille;prix
1736613405-719;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;CUTTY SARK;1L;67.190 DT
1736613405-720;https://www.geantdrive.tn/tunis-city/10-boissons;Rhum;ISLA ANTIGUA;100CL Noir 37.5D;67.690 DT
1736613405-721;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;ABSOLUT;70CL;68.000 DT
1736613405-722;https://www.geantdrive.tn/tunis-city/10-boissons;Coffret;SELIAN;2x75CL Vin blanc et rosé;68.500 DT
1736613405-723;https://www.geantdrive.tn/tunis-city/10-boissons;Coffret;MAGNIFIQUE;2x75CL Vin rouge;69.900 DT
1736613405-724;https://www.geantdrive.tn/tunis-city/10-boissons;Coffret;MAGNIFIQUE;2x75CL Vin blanc et rosé;69.900 DT
1736613405-725;https://www.geantdrive.tn/tunis-city/10-boissons;Rhum;NEGRITA;1L Anejo riserva;69.990 DT
1736613405-726;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;ECOSSAIS OLD SMUGGLER;70CL Reveal sequin;64.900 DT
1736613405-727;https://www.geantdrive.tn/tunis-city/10-boissons;Liqueur;ANTICA SAMBUCA;70CL Classic;70.600 DT
1736613405-728;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;OYAT;70CL;71.690 DT
1736613405-729;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;LABEL 5;1 L;71.900 DT
1736613405-730;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;STOLICHNAYA;1L Nature;71.990 DT
1736613405-731;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;BALLANTINE'S FINEST;50CL;72.990 DT
1736613405-732;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;STOLICHNAYA;1L Razberi;72.990 DT
1736613405-733;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;STOLICHNAYA;1L Orange;72.990 DT
1736613405-734;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;STOLICHNAYA;1L Cucumber;72.990 DT
1736613405-735;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;STOLICHNAYA;1L Citron;72.990 DT
1736613405-736;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;STOLICHNAYA;1L Blueberi;72.990 DT
1736613405-737;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;STOLICHNAYA;1L Vanille;72.990 DT
1736613405-738;https://www.geantdrive.tn/tunis-city/10-boissons;Vin blanc;MÂCON;150CL Lamartine lapalus;73.500 DT
1736613405-739;https://www.geantdrive.tn/tunis-city/10-boissons;Coffret;SELIAN;2x75CL Vin rouge et blanc;74.500 DT
1736613405-740;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;SKAYY;70Cl Rasberry;74.900 DT
1736613405-741;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;SKAYY;70Cl Citron;74.900 DT
1736613405-742;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;SKAYY;70Cl Passion fruit;74.900 DT
1736613405-743;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;SKAYY;70Cl Nature;74.900 DT
1736613405-744;https://www.geantdrive.tn/tunis-city/10-boissons;Pastis;RICARD;70CL Plantes fraîches;76.900 DT
1736613405-745;https://www.geantdrive.tn/tunis-city/10-boissons;Liqueur;APEROL ERITIVO;70CL;76.900 DT
1736613405-746;https://www.geantdrive.tn/tunis-city/10-boissons;Pastis;51;1 L;77.500 DT
1736613405-747;https://www.geantdrive.tn/tunis-city/10-boissons;Pastis;PERNOD;1 L;77.900 DT
1736613405-748;https://www.geantdrive.tn/tunis-city/10-boissons;Vin blanc;JOSEPH MELLOT DESTINEA;75CL 2019;78.400 DT
1736613405-749;https://www.geantdrive.tn/tunis-city/10-boissons;Whisky;VAT 69;1 L;77.900 DT
1736613405-750;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;DANZKA;1L Grapefruit 40;79.300 DT
1736613405-751;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;DANZKA;1L Original 40;79.300 DT
1736613405-752;https://www.geantdrive.tn/tunis-city/10-boissons;Vodka;DANZKA;1L Original 50;79.300 DT
